obs,t,Y,dq1,dq2,dq3,dq4,sq_t
1900Q1,1,1,1,0,0,0,1
1900Q2,2,1,0,1,0,0,4
1900Q3,3,0.7811020191,0,0,1,0,9
1900Q4,4,0.6337405266,0,0,0,1,16
1901Q1,5,0.6486206047,1,0,0,0,25
1901Q2,6,0.6124717252,0,1,0,0,36
1901Q3,7,0.6416176396,0,0,1,0,49
1901Q4,8,0.853520646,0,0,0,1,64
1902Q1,9,0.8978206534,1,0,0,0,81
1902Q2,10,1.3439761903,0,1,0,0,100
1902Q3,11,1.1462073579,0,0,1,0,121
1902Q4,12,1.1441631742,0,0,0,1,144
1903Q1,13,1.2158097618,1,0,0,0,169
1903Q2,14,0.9148387358,0,1,0,0,196
1903Q3,15,0.7826677267,0,0,1,0,225
1903Q4,16,0.656684236,0,0,0,1,256
1904Q1,17,0.7369906369,1,0,0,0,289
1904Q2,18,0.9455606726,0,1,0,0,324
1904Q3,19,0.826955205,0,0,1,0,361
1904Q4,20,0.682272816,0,0,0,1,400
1905Q1,21,0.6701605544,1,0,0,0,441
1905Q2,22,0.6272670992,0,1,0,0,484
1905Q3,23,0.4917394107,0,0,1,0,529
1905Q4,24,0.4411205703,0,0,0,1,576
1906Q1,25,0.4229233207,1,0,0,0,625
1906Q2,26,0.4258980973,0,1,0,0,676
1906Q3,27,0.4488037905,0,0,1,0,729
1906Q4,28,0.4277932001,0,0,0,1,784
1907Q1,29,0.4303004364,1,0,0,0,841
1907Q2,30,0.5492415348,0,1,0,0,900
1907Q3,31,0.7834012907,0,0,1,0,961
1907Q4,32,0.6479345937,0,0,0,1,1024
1908Q1,33,0.7269141121,1,0,0,0,1089
1908Q2,34,0.8620472211,0,1,0,0,1156
1908Q3,35,0.982889152,0,0,1,0,1225
1908Q4,36,0.866381278,0,0,0,1,1296
1909Q1,37,0.7948668842,1,0,0,0,1369
1909Q2,38,0.7723213758,0,1,0,0,1444
1909Q3,39,0.8426995101,0,0,1,0,1521
1909Q4,40,0.837466881,0,0,0,1,1600
1910Q1,41,0.5936657147,1,0,0,0,1681
1910Q2,42,0.5243380186,0,1,0,0,1764
1910Q3,43,0.4027277992,0,0,1,0,1849
1910Q4,44,0.4483395626,0,0,0,1,1936
1911Q1,45,0.4201309053,1,0,0,0,2025
1911Q2,46,0.408847056,0,1,0,0,2116
1911Q3,47,0.3671188504,0,0,1,0,2209
1911Q4,48,0.3969360667,0,0,0,1,2304
1912Q1,49,0.353833801,1,0,0,0,2401
1912Q2,50,0.3577216339,0,1,0,0,2500
1912Q3,51,0.364192379,0,0,1,0,2601
1912Q4,52,0.3271028995,0,0,0,1,2704
1913Q1,53,0.3620380165,1,0,0,0,2809
1913Q2,54,0.3787746262,0,1,0,0,2916
1913Q3,55,0.3667108939,0,0,1,0,3025
1913Q4,56,0.3498194232,0,0,0,1,3136
1914Q1,57,0.3164251138,1,0,0,0,3249
1914Q2,58,0.2905482709,0,1,0,0,3364
1914Q3,59,0.2473003162,0,0,1,0,3481
1914Q4,60,0.2279215992,0,0,0,1,3600
1915Q1,61,0.2169034718,1,0,0,0,3721
1915Q2,62,0.210719052,0,1,0,0,3844
1915Q3,63,0.1792999111,0,0,1,0,3969
1915Q4,64,0.1989110717,0,0,0,1,4096
1916Q1,65,0.1713751283,1,0,0,0,4225
1916Q2,66,0.1888932741,0,1,0,0,4356
1916Q3,67,0.1907863477,0,0,1,0,4489
1916Q4,68,0.2005981542,0,0,0,1,4624
1917Q1,69,0.2181444646,1,0,0,0,4761
1917Q2,70,0.311108864,0,1,0,0,4900
1917Q3,71,0.3533274522,0,0,1,0,5041
1917Q4,72,0.2683981495,0,0,0,1,5184
1918Q1,73,0.3281175177,1,0,0,0,5329
1918Q2,74,0.351526882,0,1,0,0,5476
1918Q3,75,0.3917661302,0,0,1,0,5625
1918Q4,76,0.440995174,0,0,0,1,5776
1919Q1,77,0.4623058986,1,0,0,0,5929
1919Q2,78,0.5559466938,0,1,0,0,6084
1919Q3,79,0.5978311345,0,0,1,0,6241
1919Q4,80,0.7156614359,0,0,0,1,6400
1920Q1,81,0.5881189778,1,0,0,0,6561
1920Q2,82,0.658309163,0,1,0,0,6724
1920Q3,83,0.8487037194,0,0,1,0,6889
1920Q4,84,0.8004744186,0,0,0,1,7056
1921Q1,85,1.0519488501,1,0,0,0,7225
1921Q2,86,0.9095456854,0,1,0,0,7396
1921Q3,87,0.7829876132,0,0,1,0,7569
1921Q4,88,0.8140666588,0,0,0,1,7744
1922Q1,89,0.7530678672,1,0,0,0,7921
1922Q2,90,0.8998095789,0,1,0,0,8100
1922Q3,91,0.8963482359,0,0,1,0,8281
1922Q4,92,0.8577615529,0,0,0,1,8464
1923Q1,93,0.7991343332,1,0,0,0,8649
1923Q2,94,0.9574356756,0,1,0,0,8836
1923Q3,95,0.7654849524,0,0,1,0,9025
1923Q4,96,0.6039654174,0,0,0,1,9216
1924Q1,97,0.6091661388,1,0,0,0,9409
1924Q2,98,0.6407780623,0,1,0,0,9604
1924Q3,99,0.7386028991,0,0,1,0,9801
1924Q4,100,0.7696661812,0,0,0,1,10000
1925Q1,101,0.6920116735,1,0,0,0,10201
1925Q2,102,0.805526486,0,1,0,0,10404
1925Q3,103,1.0014164595,0,0,1,0,10609
1925Q4,104,0.9858118358,0,0,0,1,10816
1926Q1,105,0.9960471146,1,0,0,0,11025
1926Q2,106,0.9687294271,0,1,0,0,11236
1926Q3,107,0.8785841069,0,0,1,0,11449
1926Q4,108,1.086535351,0,0,0,1,11664
1927Q1,109,1.2623187149,1,0,0,0,11881
1927Q2,110,1.4880349356,0,1,0,0,12100
1927Q3,111,1.8665944113,0,0,1,0,12321
1927Q4,112,2.3294766581,0,0,0,1,12544
1928Q1,113,3.0724774262,1,0,0,0,12769
1928Q2,114,3.4534241909,0,1,0,0,12996
1928Q3,115,4.2416729057,0,0,1,0,13225
1928Q4,116,6.1540471528,0,0,0,1,13456
1929Q1,117,6.0353614838,1,0,0,0,13689
1929Q2,118,6.1185259732,0,1,0,0,13924
1929Q3,119,6.7044298838,0,0,1,0,14161
1929Q4,120,7.0278490239,0,0,0,1,14400
1930Q1,121,7.1222392734,1,0,0,0,14641
1930Q2,122,7.5294609727,0,1,0,0,14884
1930Q3,123,6.7236729068,0,0,1,0,15129
1930Q4,124,5.8540556991,0,0,0,1,15376
1931Q1,125,6.9263876963,1,0,0,0,15625
1931Q2,126,8.544826238,0,1,0,0,15876
1931Q3,127,9.0260297011,0,0,1,0,16129
1931Q4,128,11.6951821592,0,0,0,1,16384
1932Q1,129,13.2347793932,1,0,0,0,16641
1932Q2,130,17.1417832164,0,1,0,0,16900
1932Q3,131,16.5096120724,0,0,1,0,17161
1932Q4,132,17.3465046159,0,0,0,1,17424
1933Q1,133,16.1811063664,1,0,0,0,17689
1933Q2,134,13.0994356415,0,1,0,0,17956
1933Q3,135,11.3750262395,0,0,1,0,18225
1933Q4,136,10.8254226581,0,0,0,1,18496
1934Q1,137,11.993756406,1,0,0,0,18769
1934Q2,138,13.2822172843,0,1,0,0,19044
1934Q3,139,9.6720471819,0,0,1,0,19321
1934Q4,140,8.3720719237,0,0,0,1,19600
1935Q1,141,10.413727985,1,0,0,0,19881
1935Q2,142,8.1903448654,0,1,0,0,20164
1935Q3,143,6.7100518146,0,0,1,0,20449
1935Q4,144,7.4020915204,0,0,0,1,20736
1936Q1,145,9.8359829035,1,0,0,0,21025
1936Q2,146,9.5307167737,0,1,0,0,21316
1936Q3,147,7.1434675595,0,0,1,0,21609
1936Q4,148,6.5177673837,0,0,0,1,21904
1937Q1,149,6.1014424562,1,0,0,0,22201
1937Q2,150,7.9243679914,0,1,0,0,22500
1937Q3,151,8.682609858,0,0,1,0,22801
1937Q4,152,12.4975114995,0,0,0,1,23104
1938Q1,153,17.5089279036,1,0,0,0,23409
1938Q2,154,19.3708387098,0,1,0,0,23716
1938Q3,155,21.570616436,0,0,1,0,24025
1938Q4,156,16.2537632274,0,0,0,1,24336
1939Q1,157,15.0433788538,1,0,0,0,24649
1939Q2,158,15.3267416333,0,1,0,0,24964
1939Q3,159,14.3494656178,0,0,1,0,25281
1939Q4,160,15.9221485899,0,0,0,1,25600
1940Q1,161,14.5558945734,1,0,0,0,25921
1940Q2,162,14.6966027554,0,1,0,0,26244
1940Q3,163,14.4547997859,0,0,1,0,26569
1940Q4,164,13.2260805254,0,0,0,1,26896
1941Q1,165,12.2418184683,1,0,0,0,27225
1941Q2,166,12.7664727658,0,1,0,0,27556
1941Q3,167,14.310748813,0,0,1,0,27889
1941Q4,168,13.3581145623,0,0,0,1,28224
1942Q1,169,17.3041661205,1,0,0,0,28561
1942Q2,170,18.4322826816,0,1,0,0,28900
1942Q3,171,19.9996604675,0,0,1,0,29241
1942Q4,172,17.4720045793,0,0,0,1,29584
1943Q1,173,16.0926809137,1,0,0,0,29929
1943Q2,174,16.3571084844,0,1,0,0,30276
1943Q3,175,15.2645187627,0,0,1,0,30625
1943Q4,176,17.1470417871,0,0,0,1,30976
1944Q1,177,18.3990379467,1,0,0,0,31329
1944Q2,178,17.5615545406,0,1,0,0,31684
1944Q3,179,19.6071862496,0,0,1,0,32041
1944Q4,180,21.4234047378,0,0,0,1,32400
1945Q1,181,23.4243675831,1,0,0,0,32761
1945Q2,182,29.4692887557,0,1,0,0,33124
1945Q3,183,30.2569604426,0,0,1,0,33489
1945Q4,184,24.3484691426,0,0,0,1,33856
1946Q1,185,21.8552560115,1,0,0,0,34225
1946Q2,186,20.028292543,0,1,0,0,34596
1946Q3,187,20.0237564307,0,0,1,0,34969
1946Q4,188,20.8332893549,0,0,0,1,35344
1947Q1,189,19.8716582558,1,0,0,0,35721
1947Q2,190,16.8167868285,0,1,0,0,36100
1947Q3,191,13.547990602,0,0,1,0,36481
1947Q4,192,10.9055787208,0,0,0,1,36864
1948Q1,193,9.8144122586,1,0,0,0,37249
1948Q2,194,11.1235910224,0,1,0,0,37636
1948Q3,195,13.1912508558,0,0,1,0,38025
1948Q4,196,15.313617915,0,0,0,1,38416
1949Q1,197,16.2455750192,1,0,0,0,38809
1949Q2,198,15.1166413439,0,1,0,0,39204
1949Q3,199,14.0411565263,0,0,1,0,39601
1949Q4,200,11.5819627414,0,0,0,1,40000
