obs,Y
1900Q1,12.6
1900Q2,14.75
1900Q3,16.0863329038
1900Q4,22.1317073013
1901Q1,18.657233369
1901Q2,20.288853424
1901Q3,19.6438152165
1901Q4,23.1029667627
1902Q1,18.0313226841
1902Q2,21.402778361
1902Q3,22.6231369838
1902Q4,26.3118838352
1903Q1,21.8633794118
1903Q2,23.5551710103
1903Q3,22.8869478776
1903Q4,24.2068559763
1904Q1,18.2445402495
1904Q2,22.0555270135
1904Q3,23.8865563361
1904Q4,29.8074109366
1905Q1,25.1467432278
1905Q2,27.7120954706
1905Q3,29.1180771299
1905Q4,31.0346180829
1906Q1,26.9788231222
1906Q2,29.9785427438
1906Q3,29.371835866
1906Q4,32.1228263579
1907Q1,27.1505212167
1907Q2,30.6933645128
1907Q3,29.5921941923
1907Q4,30.6586497646
1908Q1,23.8837648554
1908Q2,25.859176902
1908Q3,26.5691005339
1908Q4,29.7267915417
1909Q1,23.6130670515
1909Q2,27.2050622072
1909Q3,29.3054150934
1909Q4,33.2504923321
1910Q1,28.1511619759
1910Q2,30.1913971739
1910Q3,29.9561411409
1910Q4,34.1261190474
1911Q1,29.3171257869
1911Q2,32.0042528949
1911Q3,32.4083452818
1911Q4,37.4605231634
1912Q1,31.9718457518
1912Q2,32.6756134729
1912Q3,31.4547666977
1912Q4,34.9913272238
1913Q1,30.2608271617
1913Q2,33.0647467623
1913Q3,32.2119554178
1913Q4,36.130512742
1914Q1,32.6770944817
1914Q2,36.0165170232
1914Q3,36.1578371595
1914Q4,40.3566609338
1915Q1,34.9008907875
1915Q2,37.2774944013
1915Q3,37.1543720576
1915Q4,40.9122546448
1916Q1,35.3185935153
1916Q2,38.9724308719
1916Q3,39.4567548477
1916Q4,42.9336470544
1917Q1,37.6385914457
1917Q2,39.8183161459
1917Q3,40.7814116293
1917Q4,45.3089967578
1918Q1,41.5959261347
1918Q2,44.159886569
1918Q3,44.76980789
1918Q4,48.2050831552
1919Q1,41.3390034505
1919Q2,42.826207152
1919Q3,41.6602531034
1919Q4,44.8512026993
1920Q1,39.032903715
1920Q2,41.3767259084
1920Q3,39.4737174516
1920Q4,41.9650221426
1921Q1,37.5422621224
1921Q2,41.0523598012
1921Q3,41.7030804233
1921Q4,44.3568483935
1922Q1,38.2536227694
1922Q2,39.9270450382
1922Q3,39.6341795035
1922Q4,43.2694970466
1923Q1,35.1441935686
1923Q2,35.7649761057
1923Q3,35.6729185773
1923Q4,40.311002048
1924Q1,34.9650171739
1924Q2,37.2279017857
1924Q3,36.3697864229
1924Q4,40.9253676477
1925Q1,37.566829557
1925Q2,39.4242818374
1925Q3,37.5339050345
1925Q4,42.4341078382
1926Q1,38.5211785149
1926Q2,41.5307155359
1926Q3,42.2326757459
1926Q4,45.4409604072
1927Q1,38.1299171527
1927Q2,38.1458373721
1927Q3,37.4929703485
1927Q4,40.4699259531
1928Q1,33.4686712675
1928Q2,37.1821171285
1928Q3,37.5140596789
1928Q4,39.6670184616
1929Q1,34.1068632236
1929Q2,38.3946241928
1929Q3,40.8908142129
1929Q4,42.9903978121
1930Q1,37.0112076444
1930Q2,39.6064586688
1930Q3,38.6432103866
1930Q4,40.908927852
1931Q1,35.0041478262
1931Q2,35.760394173
1931Q3,36.1321640217
1931Q4,39.8065601781
1932Q1,35.3860831259
1932Q2,37.8544394582
1932Q3,37.2338167133
1932Q4,40.7543913775
1933Q1,35.9432968937
1933Q2,37.8444458278
1933Q3,35.8057848981
1933Q4,36.3642226113
1934Q1,29.1781532676
1934Q2,30.5672775151
1934Q3,30.0293782678
1934Q4,31.3265830895
1935Q1,24.0624206337
1935Q2,25.1813454833
1935Q3,24.3400827691
1935Q4,27.5075230552
1936Q1,21.8229609008
1936Q2,24.3553209578
1936Q3,21.9043035093
1936Q4,23.6144498923
1937Q1,17.662373525
1937Q2,20.7429083067
1937Q3,20.7661862034
1937Q4,25.2271385036
1938Q1,20.4876625156
1938Q2,24.4804394953
1938Q3,24.4080092081
1938Q4,27.9776009999
1939Q1,21.7247690677
1939Q2,22.1017301069
1939Q3,22.1894555264
1939Q4,26.3273645361
1940Q1,21.3274720439
1940Q2,26.4424082474
1940Q3,28.5572175579
1940Q4,32.5930085599
1941Q1,26.7155557905
1941Q2,29.366496899
1941Q3,30.8083682711
1941Q4,34.6380524842
1942Q1,29.626308112
1942Q2,32.8504324996
1942Q3,32.8639339675
1942Q4,36.5008714159
1943Q1,31.4814031998
1943Q2,31.5850546803
1943Q3,28.7538757285
1943Q4,31.0172730244
1944Q1,24.4389766465
1944Q2,26.4085387144
1944Q3,25.5023697146
1944Q4,26.1142769831
1945Q1,18.5300064588
1945Q2,20.1448903867
1945Q3,19.1765077632
1945Q4,22.0462540373
1946Q1,17.7765221343
1946Q2,19.6985480658
1946Q3,19.5420348176
1946Q4,23.1205783443
1947Q1,18.2130919359
1947Q2,20.2534278849
1947Q3,20.7181261151
1947Q4,24.7098350826
1948Q1,19.4346607836
1948Q2,20.0016359529
1948Q3,20.0660763103
1948Q4,23.6606677599
1949Q1,17.3964397197
1949Q2,19.7980239029
1949Q3,19.2920190199
1949Q4,22.5067257339
1950Q1,17.1947921317
1950Q2,20.1657707719
1950Q3,20.3013824213
1950Q4,23.6783093334
1951Q1,17.5963149832
1951Q2,19.8690814777
1951Q3,19.3285508694
1951Q4,22.6238661219
1952Q1,16.7401338072
1952Q2,19.206458693
1952Q3,19.8456342341
1952Q4,23.4287287785
1953Q1,18.0653944372
1953Q2,21.1195697826
1953Q3,21.183327471
1953Q4,26.5114554737
1954Q1,22.4135808577
1954Q2,24.9326512939
1954Q3,23.0551471088
1954Q4,25.2390026622
1955Q1,18.4162150937
1955Q2,20.438738878
1955Q3,20.766415029
1955Q4,22.3124197963
1956Q1,17.6101558322
1956Q2,21.6379087169
1956Q3,21.2483534973
1956Q4,23.0596632355
1957Q1,13.8966000926
1957Q2,15.0356836293
1957Q3,15.7051201047
1957Q4,20.9309387859
1958Q1,14.4327848909
1958Q2,17.0959390639
1958Q3,18.4080071505
1958Q4,21.3535327523
1959Q1,15.5137645641
1959Q2,16.4979789075
1959Q3,15.013595482
1959Q4,16.9612480222
1960Q1,11.5665429828
1960Q2,13.7003455636
1960Q3,13.8129038298
1960Q4,16.3921561529
1961Q1,10.2687616904
1961Q2,12.9632814514
1961Q3,12.9935847048
1961Q4,14.7337941398
1962Q1,8.2364396309
1962Q2,9.1942845054
1962Q3,8.2610243392
1962Q4,11.662340473
1963Q1,7.2111634264
1963Q2,10.3064951817
1963Q3,10.4898135184
1963Q4,12.7072097008
1964Q1,7.3183625272
1964Q2,9.5966560957
1964Q3,8.8814831633
1964Q4,12.6752784417
1965Q1,8.544520614
1965Q2,12.3082696204
1965Q3,11.0865868794
1965Q4,12.8232083021
1966Q1,5.973302446
1966Q2,8.4252270481
1966Q3,6.8040134232
1966Q4,8.9708632501
1967Q1,2.4495281507
1967Q2,6.0738568726
1967Q3,7.3511801164
1967Q4,10.1774076485
1968Q1,5.7162859182
1968Q2,7.3642740696
1968Q3,7.7476956994
1968Q4,12.5865634782
1969Q1,8.4663872397
1969Q2,11.0664405179
1969Q3,9.8536489428
1969Q4,12.6528591775
1970Q1,6.5924275836
1970Q2,9.9741091973
1970Q3,10.0291878868
1970Q4,13.2444946365
1971Q1,8.777972654
1971Q2,11.82130191
1971Q3,13.4352906344
1971Q4,17.7132882297
1972Q1,11.2412253117
1972Q2,11.2096103414
1972Q3,10.7394831
1972Q4,12.572194914
1973Q1,7.0125772649
1973Q2,9.5782892216
1973Q3,10.4294245185
1973Q4,14.3108203433
1974Q1,9.5062038719
1974Q2,10.1333141885
1974Q3,9.9757199474
1974Q4,12.166812341
1975Q1,7.3397615114
1975Q2,10.3807933042
1975Q3,13.4008155868
1975Q4,19.362919107
1976Q1,14.2576594578
1976Q2,17.9193373153
1976Q3,18.4609824501
1976Q4,20.6601725975
1977Q1,15.4322104174
1977Q2,17.403871654
1977Q3,16.5966663871
1977Q4,19.4951836978
1978Q1,13.4525187259
1978Q2,15.0366970055
1978Q3,14.3142898004
1978Q4,17.7497751594
1979Q1,11.8669311839
1979Q2,12.5552160369
1979Q3,11.0030825326
1979Q4,14.1535477449
1980Q1,9.4052970842
1980Q2,12.3010155402
1980Q3,12.7975814612
1980Q4,15.6425818006
1981Q1,8.7383567547
1981Q2,10.2086425544
1981Q3,8.4940937739
1981Q4,10.4708625447
1982Q1,5.3960015254
1982Q2,9.7506900767
1982Q3,13.1268132276
1982Q4,18.3628778245
1983Q1,11.810360692
1983Q2,13.9172468914
1983Q3,13.4701488793
1983Q4,16.0583034051
1984Q1,9.893797603
1984Q2,12.3446641665
1984Q3,14.5735618445
1984Q4,20.1932122362
1985Q1,15.1793227248
1985Q2,15.7801894488
1985Q3,13.1742420349
1985Q4,17.2130023247
1986Q1,12.3881916132
1986Q2,14.7657102704
1986Q3,14.3918696529
1986Q4,16.6826874259
1987Q1,11.1624568951
1987Q2,13.1747123408
1987Q3,12.8062398895
1987Q4,16.659006837
1988Q1,11.1372960402
1988Q2,13.0143094258
1988Q3,12.3544051567
1988Q4,14.2519081579
1989Q1,7.8109064808
1989Q2,8.3468386715
1989Q3,8.755358751
1989Q4,12.7672097552
1990Q1,7.8330974514
