KinArMFt,Terulet,Terasz,Szoba,Felszoba,Furdoszoba,Emelet,DeliTaj,Buda,Pest,Kerulet,Terulet_70,Terasz_5,Szoba_2,Felszoba_1,Furdoszoba_1,Emelet_2,DeliTaj_1,Buda_1,OSzoba,stKinAr,stTerulet,stTerasz,stSzoba,stFelszoba,stFurdoszoba,stEmelet,stDeliTaj,stBuda,B_Terulet,B_Terasz,B_Szoba,B_Felszoba,B_Furdoszoba,B_Emelet,B_DeliTaj,P_Terulet,P_Terasz,P_Szoba,P_Felszoba,P_Furdoszoba,P_Emelet,P_DeliTaj,Emelet2,TeruletSzoba,TeruletFelszoba,BudaSzoba
10.7,32,0,1,0,1,2,0,1,0,1,-38,-5,-1,-1,0,0,-1,0,1,-0.8044088718,-1.0663228607,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,0.0518524152,-1.0477242781,1.0904974818,32,0,1,0,1,2,0,0,0,0,0,0,0,0,4,32,0,1
10,32,0,1,0,1,2,0,1,0,1,-38,-5,-1,-1,0,0,-1,0,1,-0.8400579913,-1.0663228607,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,0.0518524152,-1.0477242781,1.0904974818,32,0,1,0,1,2,0,0,0,0,0,0,0,0,4,32,0,1
10.5,32,0,1,0,1,2,0,1,0,1,-38,-5,-1,-1,0,0,-1,0,1,-0.8145943345,-1.0663228607,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,0.0518524152,-1.0477242781,1.0904974818,32,0,1,0,1,2,0,0,0,0,0,0,0,0,4,32,0,1
12,34,0,1,0,1,1,1,1,0,1,-36,-5,-1,-1,0,-1,0,0,1,-0.738203364,-1.0189107406,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,-0.526754694,0.9537707423,1.0904974818,34,0,1,0,1,1,1,0,0,0,0,0,0,0,1,34,0,1
13,34,0,1,0,1,1,1,1,0,1,-36,-5,-1,-1,0,-1,0,0,1,-0.6872760504,-1.0189107406,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,-0.526754694,0.9537707423,1.0904974818,34,0,1,0,1,1,1,0,0,0,0,0,0,0,1,34,0,1
13.9,35,0,1,0,1,0,1,1,0,1,-35,-5,-1,-1,0,-2,0,0,1,-0.6414414682,-0.9952046805,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,-1.1053618032,0.9537707423,1.0904974818,35,0,1,0,1,0,1,0,0,0,0,0,0,0,0,35,0,1
17.2,43,0,2,0,1,1,0,1,0,1,-27,-5,0,-1,0,-1,-1,0,2,-0.4733813332,-0.8055562001,-0.4351717635,-0.4854613208,-0.6332583183,-0.2942849861,-0.526754694,-1.0477242781,1.0904974818,43,0,2,0,1,1,0,0,0,0,0,0,0,0,1,86,0,2
15.9,44,3,1,0,1,2,0,1,0,1,-26,-2,-1,-1,0,0,-1,0,1,-0.5395868409,-0.78185014,-0.1890264947,-1.3108042676,-0.6332583183,-0.2942849861,0.0518524152,-1.0477242781,1.0904974818,44,3,1,0,1,2,0,0,0,0,0,0,0,0,4,44,0,1
13.9,46,0,2,1,1,3,1,1,0,1,-24,-5,0,0,0,1,0,0,2.5,-0.6414414682,-0.7344380199,-0.4351717635,-0.4854613208,0.9709960881,-0.2942849861,0.6304595244,0.9537707423,1.0904974818,46,0,2,1,1,3,1,0,0,0,0,0,0,0,9,92,46,2
18,47,0,1,0,1,2,0,1,0,1,-23,-5,-1,-1,0,0,-1,0,1,-0.4326394823,-0.7107319598,-0.4351717635,-1.3108042676,-0.6332583183,-0.2942849861,0.0518524152,-1.0477242781,1.0904974818,47,0,1,0,1,2,0,0,0,0,0,0,0,0,4,47,0,1
