obs,ATS,DEM,DKK,ITL1000
"1990/01/01",5.24,36.87,9.47,49.21
"1990/01/02",5.24,36.87,9.47,49.21
"1990/01/03",5.26,36.99,9.51,49.31
"1990/01/04",5.21,36.67,9.43,48.94
"1990/01/05",5.18,36.51,9.43,48.96
"1990/01/06",5.25,36.96,9.48,49.17
"1990/01/07",5.25,36.96,9.48,49.17
"1990/01/08",5.25,36.96,9.48,49.17
"1990/01/09",5.24,36.91,9.5,49.4
"1990/01/10",5.27,37.07,9.54,49.45
"1990/01/11",5.27,37.07,9.55,49.54
"1990/01/12",5.24,36.87,9.51,49.4
"1990/01/13",5.25,36.9,9.52,49.49
"1990/01/14",5.25,36.9,9.52,49.49
"1990/01/15",5.25,36.9,9.52,49.49
"1990/01/16",5.24,36.87,9.52,49.49
"1990/01/17",5.21,36.65,9.46,49.23
"1990/01/18",5.22,36.74,9.49,49.3
"1990/01/19",5.21,36.74,9.49,49.29
"1990/01/20",5.19,36.56,9.45,49.13
"1990/01/21",5.19,36.56,9.45,49.13
"1990/01/22",5.19,36.56,9.45,49.13
"1990/01/23",5.19,36.54,9.45,49.11
"1990/01/24",5.21,36.66,9.47,49.3
"1990/01/25",5.23,36.83,9.51,49.47
"1990/01/26",5.23,36.82,9.51,49.49
"1990/01/27",5.23,36.83,9.52,49.5
"1990/01/28",5.23,36.83,9.52,49.5
"1990/01/29",5.23,36.83,9.52,49.5
"1990/01/30",5.25,36.98,9.55,49.67
"1990/01/31",5.3,37.31,9.65,50.16
"1990/02/01",5.3,37.25,9.63,50.12
"1990/02/02",5.3,37.3,9.64,50.19
"1990/02/03",5.29,37.25,9.63,50.15
"1990/02/04",5.29,37.25,9.63,50.15
"1990/02/05",5.29,37.25,9.63,50.15
"1990/02/06",5.4,38,9.84,51.18
"1990/02/07",5.42,38.19,9.9,51.43
"1990/02/08",5.42,38.2,9.88,51.3
"1990/02/09",5.42,38.18,9.89,51.27
"1990/02/10",5.42,38.16,9.87,51.29
"1990/02/11",5.42,38.16,9.87,51.29
"1990/02/12",5.42,38.16,9.87,51.29
"1990/02/13",5.42,38.13,9.87,51.24
"1990/02/14",5.39,37.96,9.83,51.09
"1990/02/15",5.41,38.06,9.86,51.21
"1990/02/16",5.4,38.04,9.85,51.17
"1990/02/17",5.38,37.88,9.82,51.05
"1990/02/18",5.38,37.88,9.82,51.05
"1990/02/19",5.38,37.88,9.82,51.05
"1990/02/20",5.51,38.81,10.06,52.31
"1990/02/21",5.52,38.84,10.08,52.34
"1990/02/22",5.52,38.87,10.09,52.44
"1990/02/23",5.51,38.8,10.08,52.44
"1990/02/24",5.5,38.73,10.07,52.42
"1990/02/25",5.5,38.73,10.07,52.42
"1990/02/26",5.5,38.73,10.07,52.42
"1990/02/27",5.49,38.66,10.05,52.27
"1990/02/28",5.48,38.63,10.04,52.19
"1990/03/01",5.48,38.58,10.04,52.19
"1990/03/02",5.46,38.44,10.01,52.09
"1990/03/03",5.44,38.33,9.99,51.97
"1990/03/04",5.44,38.33,9.99,51.97
"1990/03/05",5.44,38.33,9.99,51.97
"1990/03/06",5.46,38.48,10.03,52.03
"1990/03/07",5.48,38.58,10.05,52.25
"1990/03/08",5.47,38.53,10.04,52.23
"1990/03/09",5.47,38.55,10.06,52.24
"1990/03/10",5.48,38.57,10.06,52.21
"1990/03/11",5.48,38.57,10.06,52.21
"1990/03/12",5.48,38.57,10.06,52.21
"1990/03/13",5.47,38.5,10.05,52.14
"1990/03/14",5.46,38.45,10.03,52.11
"1990/03/15",5.46,38.45,10.04,52.11
"1990/03/16",5.46,38.45,10.04,52.11
"1990/03/17",5.46,38.45,10.04,52.11
"1990/03/18",5.46,38.45,10.04,52.11
"1990/03/19",5.46,38.45,10.04,52.11
"1990/03/20",5.5,38.73,10.1,52.43
"1990/03/21",5.51,38.74,10.1,52.4
"1990/03/22",5.48,38.56,10.07,52.23
"1990/03/23",5.47,38.45,10.06,52.22
"1990/03/24",5.47,38.52,10.08,52.3
"1990/03/25",5.47,38.52,10.08,52.3
"1990/03/26",5.47,38.52,10.08,52.3
"1990/03/27",5.46,38.42,10.07,52.21
"1990/03/28",5.46,38.43,10.09,52.26
"1990/03/29",5.45,38.38,10.08,52.27
"1990/03/30",5.47,38.5,10.07,52.25
"1990/03/31",5.49,38.61,10.1,52.36
"1990/04/01",5.49,38.61,10.1,52.36
"1990/04/02",5.49,38.61,10.1,52.36
"1990/04/03",5.48,38.52,10.09,52.36
"1990/04/04",5.48,38.54,10.09,52.44
"1990/04/05",5.48,38.56,10.09,52.49
"1990/04/06",5.48,38.53,10.07,52.33
"1990/04/07",5.48,38.6,10.09,52.45
"1990/04/08",5.48,38.6,10.09,52.45
"1990/04/09",5.48,38.6,10.09,52.45
"1990/04/10",5.49,38.64,10.1,52.57
