obs,ATS,DEM
"1990/01/01",5.24,36.87
"1990/01/02",5.24,36.87
"1990/01/03",5.26,36.99
"1990/01/04",5.21,36.67
"1990/01/05",5.18,36.51
"1990/01/06",5.25,36.96
"1990/01/07",5.25,36.96
"1990/01/08",5.25,36.96
"1990/01/09",5.24,36.91
"1990/01/10",5.27,37.07
"1990/01/11",5.27,37.07
"1990/01/12",5.24,36.87
"1990/01/13",5.25,36.9
"1990/01/14",5.25,36.9
"1990/01/15",5.25,36.9
"1990/01/16",5.24,36.87
"1990/01/17",5.21,36.65
"1990/01/18",5.22,36.74
"1990/01/19",5.21,36.74
"1990/01/20",5.19,36.56
"1990/01/21",5.19,36.56
"1990/01/22",5.19,36.56
"1990/01/23",5.19,36.54
"1990/01/24",5.21,36.66
"1990/01/25",5.23,36.83
"1990/01/26",5.23,36.82
"1990/01/27",5.23,36.83
"1990/01/28",5.23,36.83
"1990/01/29",5.23,36.83
"1990/01/30",5.25,36.98
"1990/01/31",5.3,37.31
"1990/02/01",5.3,37.25
"1990/02/02",5.3,37.3
"1990/02/03",5.29,37.25
"1990/02/04",5.29,37.25
"1990/02/05",5.29,37.25
"1990/02/06",5.4,38
"1990/02/07",5.42,38.19
"1990/02/08",5.42,38.2
"1990/02/09",5.42,38.18
"1990/02/10",5.42,38.16
"1990/02/11",5.42,38.16
"1990/02/12",5.42,38.16
"1990/02/13",5.42,38.13
"1990/02/14",5.39,37.96
"1990/02/15",5.41,38.06
"1990/02/16",5.4,38.04
"1990/02/17",5.38,37.88
"1990/02/18",5.38,37.88
"1990/02/19",5.38,37.88
"1990/02/20",5.51,38.81
"1990/02/21",5.52,38.84
"1990/02/22",5.52,38.87
"1990/02/23",5.51,38.8
"1990/02/24",5.5,38.73
"1990/02/25",5.5,38.73
"1990/02/26",5.5,38.73
"1990/02/27",5.49,38.66
"1990/02/28",5.48,38.63
"1990/03/01",5.48,38.58
"1990/03/02",5.46,38.44
"1990/03/03",5.44,38.33
"1990/03/04",5.44,38.33
"1990/03/05",5.44,38.33
"1990/03/06",5.46,38.48
"1990/03/07",5.48,38.58
"1990/03/08",5.47,38.53
"1990/03/09",5.47,38.55
"1990/03/10",5.48,38.57
"1990/03/11",5.48,38.57
"1990/03/12",5.48,38.57
"1990/03/13",5.47,38.5
"1990/03/14",5.46,38.45
"1990/03/15",5.46,38.45
"1990/03/16",5.46,38.45
"1990/03/17",5.46,38.45
"1990/03/18",5.46,38.45
"1990/03/19",5.46,38.45
"1990/03/20",5.5,38.73
"1990/03/21",5.51,38.74
"1990/03/22",5.48,38.56
"1990/03/23",5.47,38.45
"1990/03/24",5.47,38.52
"1990/03/25",5.47,38.52
"1990/03/26",5.47,38.52
"1990/03/27",5.46,38.42
"1990/03/28",5.46,38.43
"1990/03/29",5.45,38.38
"1990/03/30",5.47,38.5
"1990/03/31",5.49,38.61
"1990/04/01",5.49,38.61
"1990/04/02",5.49,38.61
"1990/04/03",5.48,38.52
"1990/04/04",5.48,38.54
"1990/04/05",5.48,38.56
"1990/04/06",5.48,38.53
"1990/04/07",5.48,38.6
"1990/04/08",5.48,38.6
"1990/04/09",5.48,38.6
"1990/04/10",5.49,38.64
"1990/04/11",5.49,38.62
"1990/04/12",5.52,38.78
"1990/04/13",5.52,38.82
"1990/04/14",5.52,38.84
"1990/04/15",5.52,38.84
"1990/04/16",5.52,38.84
"1990/04/17",5.52,38.84
"1990/04/18",5.51,38.75
"1990/04/19",5.51,38.76
"1990/04/20",5.52,38.85
"1990/04/21",5.5,38.75
"1990/04/22",5.5,38.75
"1990/04/23",5.5,38.75
"1990/04/24",5.49,38.59
"1990/04/25",5.48,38.57
"1990/04/26",5.48,38.56
"1990/04/27",5.5,38.74
"1990/04/28",5.5,38.71
"1990/04/29",5.5,38.71
"1990/04/30",5.5,38.71
"1990/05/01",5.5,38.71
"1990/05/02",5.5,38.71
"1990/05/03",5.49,38.64
"1990/05/04",5.5,38.67
"1990/05/05",5.5,38.72
"1990/05/06",5.5,38.72
"1990/05/07",5.5,38.72
"1990/05/08",5.53,38.9
"1990/05/09",5.54,38.97
"1990/05/10",5.55,39.08
"1990/05/11",5.56,39.1
"1990/05/12",5.57,39.18
"1990/05/13",5.57,39.18
"1990/05/14",5.57,39.18
"1990/05/15",5.55,39.05
"1990/05/16",5.55,39.03
"1990/05/17",5.54,38.97
"1990/05/18",5.56,39.13
"1990/05/19",5.54,38.97
"1990/05/20",5.54,38.97
"1990/05/21",5.54,38.97
"1990/05/22",5.52,38.89
"1990/05/23",5.51,38.79
"1990/05/24",5.51,38.79
"1990/05/25",5.51,38.7
"1990/05/26",5.49,38.64
"1990/05/27",5.49,38.64
"1990/05/28",5.49,38.64
"1990/05/29",5.49,38.62
"1990/05/30",5.51,38.74
"1990/05/31",5.5,38.71
"1990/06/01",5.48,38.51
"1990/06/02",5.47,38.49
"1990/06/03",5.47,38.49
"1990/06/04",5.47,38.49
"1990/06/05",5.48,38.39
"1990/06/06",5.48,38.47
